product_name,sum(sales)
"Eldon File Cart, Single Width",31319.0
"Rogers File Cart, Single Width",22645.0
"Tenex File Cart, Single Width",20778.0
"Smead File Cart, Single Width",20775.0
"Office Star Executive Leather Armchair, Adjustable",19355.0
"Fellowes Lockers, Industrial",19172.0
"Smead Lockers, Industrial",18648.0
"Hewlett Copy Machine, Color",16849.0
"Rogers Lockers, Blue",16494.0
"Fellowes Lockers, Wire Frame",16470.0
"Hon Executive Leather Armchair, Adjustable",15927.0
"Sharp Copy Machine, Color",15795.0
"Brother Copy Machine, Color",15732.0
"Bush Stackable Bookrack, Pine",15632.0
"Harbour Creations Swivel Stool, Red",15419.0
"HP Copy Machine, Color",14739.0
"Tenex Lockers, Blue",14259.0
"Smead Lockers, Single Width",14034.0
"Rogers Lockers, Single Width",13742.0
"Hon Swivel Stool, Black",13611.0
"Rogers Lockers, Wire Frame",13598.0
"Fellowes File Cart, Single Width",13575.0
"Novimex Executive Leather Armchair, Adjustable",13430.0
"Fellowes File Cart, Wire Frame",13372.0
"Safco Stackable Bookrack, Pine",13311.0
"Office Star Swivel Stool, Adjustable",13191.0
"Sauder Stackable Bookrack, Pine",13120.0
"Eldon Lockers, Blue",13020.0
"Tenex Lockers, Single Width",12840.0
"Rogers Lockers, Industrial",12826.0
"Tenex Lockers, Wire Frame",12813.0
"Novimex Swivel Stool, Black",12783.0
"Eldon Lockers, Wire Frame",12530.0
"Memorex Router, Erganomic",12021.0
"Hon Executive Leather Armchair, Black",11943.0
"Smead File Cart, Blue",11689.0
"Rogers File Cart, Industrial",11531.0
"Smead File Cart, Industrial",11484.0
"Rogers File Cart, Blue",11441.0
"Fellowes File Cart, Blue",11350.0
"Logitech Router, USB",11228.0
"Fellowes Lockers, Blue",11206.0
"Harbour Creations Swivel Stool, Adjustable",11140.0
"Eldon Lockers, Industrial",11131.0
"Motorola Audio Dock, VoIP",11100.0
"Tenex Lockers, Industrial",11067.0
"Fellowes Lockers, Single Width",11060.0
"Sharp Copy Machine, Laser",11041.0
"Smead Lockers, Blue",11025.0
"Canon Fax Machine, Digital",10837.0
"Sauder Classic Bookcase, Pine",10709.0
"Eldon File Cart, Industrial",10675.0
"Harbour Creations Executive Leather Armchair, Adjustable",10658.0
"Dania Library with Doors, Traditional",10543.0
"Smead Lockers, Wire Frame",10521.0
"Fellowes File Cart, Industrial",10520.0
"Dania Stackable Bookrack, Pine",10405.0
"Belkin Router, USB",10264.0
"Ikea Library with Doors, Pine",10166.0
"Hewlett Wireless Fax, Laser",9999.0
"Bush Classic Bookcase, Traditional",9942.0
"Samsung Audio Dock, Cordless",9869.0
"Rubbermaid Frame, Duo Pack",9838.0
"SAFCO Executive Leather Armchair, Adjustable",9837.0
"Tenex File Cart, Blue",9771.0
"Samsung Audio Dock, Full Size",9728.0
"Harbour Creations Swivel Stool, Set of Two",9709.0
"Sauder Floating Shelf Set, Mobile",9708.0
"Dania Corner Shelving, Traditional",9696.0
"Brother Wireless Fax, Digital",9650.0
"Cisco Signal Booster, with Caller ID",9631.0
"Eldon File Cart, Blue",9621.0
"Cisco Audio Dock, with Caller ID",9608.0
"Hewlett Fax Machine, Laser",9582.0
"Harbour Creations Rocking Chair, Black",9564.0
"Office Star Rocking Chair, Set of Two",9563.0
"Ikea Library with Doors, Mobile",9551.0
"Memorex Router, Bluetooth",9544.0
"Novimex Executive Leather Armchair, Black",9524.0
"Enermax Memory Card, USB",9494.0
"Office Star Rocking Chair, Black",9457.0
"Ikea Classic Bookcase, Metal",9439.0
"Hewlett Fax Machine, High-Speed",9390.0
"Cisco Signal Booster, VoIP",9361.0
"Sauder Floating Shelf Set, Pine",9345.0
"Office Star Swivel Stool, Red",9296.0
"Nokia Smart Phone, Full Size",9237.0
"Sharp Personal Copier, Digital",9206.0
"Motorola Smart Phone, Full Size",9157.0
"Apple Signal Booster, with Caller ID",9120.0
"Apple Smart Phone, Full Size",9087.0
"Apple Audio Dock, with Caller ID",9083.0
"Apple Audio Dock, VoIP",9061.0
"Logitech Router, Bluetooth",9052.0
"Dania Library with Doors, Metal",9023.0
"Motorola Speaker Phone, Full Size",9023.0
"Ikea Floating Shelf Set, Traditional",8991.0
"Office Star Steel Folding Chair, Black",8965.0
"Hewlett Fax and Copier, High-Speed",8949.0
"HP Wireless Fax, Laser",8912.0
"Sauder Corner Shelving, Pine",8911.0
"SAFCO Rocking Chair, Black",8859.0
"Eldon Lockers, Single Width",8850.0
"Apple Signal Booster, Cordless",8831.0
"Apple Audio Dock, Full Size",8831.0
"Cisco Speaker Phone, with Caller ID",8825.0
"Safco Classic Bookcase, Mobile",8787.0
"Belkin Memory Card, Programmable",8751.0
"Hon Rocking Chair, Set of Two",8743.0
"Brother Fax and Copier, Laser",8729.0
"HP Copy Machine, Laser",8712.0
"Novimex Executive Leather Armchair, Red",8630.0
"Motorola Audio Dock, Cordless",8564.0
"Sauder Library with Doors, Metal",8553.0
"Dania Library with Doors, Mobile",8550.0
"Harbour Creations Executive Leather Armchair, Black",8532.0
"Hon Rocking Chair, Black",8446.0
"Tenex File Cart, Industrial",8369.0
"Safco Classic Bookcase, Traditional",8352.0
"Hewlett Copy Machine, Laser",8343.0
"SAFCO Swivel Stool, Set of Two",8311.0
"Bush Library with Doors, Traditional",8303.0
"Sauder 3-Shelf Cabinet, Pine",8300.0
"Hon Rocking Chair, Adjustable",8264.0
"Sauder 3-Shelf Cabinet, Mobile",8264.0
"Hon Swivel Stool, Adjustable",8264.0
"Sharp Fax Machine, High-Speed",8249.0
"Sauder Classic Bookcase, Traditional",8242.0
"Bush Classic Bookcase, Metal",8229.0
"Hon Rocking Chair, Red",8208.0
"Nokia Signal Booster, with Caller ID",8169.0
