iter	RMSE
0	362680.8871
1	350089.2215
2	337409.2779
3	325520.0714
4	314621.1962
5	304804.2027
6	295246.1014
7	286656.3038
8	278443.8655
9	270654.8101
10	262820.1191
11	255474.5481
12	248449.181
13	242128.8687
14	236473.0258
15	231025.655
16	225512.3791
17	220960.854
18	216837.618
19	211743.3236
20	207129.9602
21	202780.9275
22	198530.7157
23	195273.9954
24	191629.9767
25	188496.2544
26	185805.1868
27	182946.2633
28	180882.1889
29	178122.6498
30	175870.3079
31	173600.503
32	171390.8918
33	169436.4012
34	167121.5894
35	165298.473
36	163397.1562
37	161741.6966
38	160021.0443
39	158661.3573
40	156796.1767
41	155482.937
42	154220.4644
43	152893.5313
44	150923.5935
45	150038.0676
46	148950.2058
47	147717.8155
48	146663.5369
49	145642.8736
50	144954.9792
51	143873.5313
52	143074.9357
53	142326.7724
54	141474.9604
55	140710.7361
56	140060.7432
57	139438.0185
58	138914.5155
59	138317.1673
60	137487.0608
61	136880.5776
62	136364.8225
63	135411.7323
64	134697.6218
65	134092.6292
66	133562.0097
67	133100.3482
68	132623.4696
69	132152.6143
70	131940.5506
71	131634.5771
72	131183.6314
73	130838.1403
74	130100.0241
75	129793.285
76	129427.1359
77	129119.4284
78	128757.0157
79	128517.2015
80	128229.0488
81	127639.5759
82	127247.743
83	126847.91
84	126581.5535
85	126243.8638
86	125640.0162
87	125214.1721
88	124993.2008
89	124663.0042
90	124417.9362
91	124049.0356
92	123760.3507
93	123528.1677
94	123149.7091
95	122864.5577
96	122624.1038
97	122262.9027
98	122008.9007
99	121805.8904
100	121609.3496
101	121376.4059
102	121218.6147
103	120850.8966
104	120611.4631
105	120424.4243
106	120181.6802
107	119989.3104
108	119736.4005
109	119521.7084
110	119236.8609
111	119001.6394
112	118792.3337
113	118582.6312
114	118374.6399
115	118142.0074
116	117929.4033
117	117720.9838
118	117500.0864
119	117161.5985
120	116733.8716
121	116501.9026
122	116331.2503
123	116193.6978
124	115927.4897
125	115463.5526
126	115383.1715
127	115137.7008
128	114877.9125
129	114691.7083
130	114525.9108
131	114334.1209
132	114199.8985
133	114043.2738
134	113792.3597
135	113540.7172
136	113368.1897
137	113073.9533
138	112825.2533
139	112560.7676
140	112287.4987
141	112127.4647
142	111952.551
143	111821.8684
144	111674.6438
145	111420.5985
146	111191.7656
147	111067.7213
148	110903.9936
149	110711.2965
150	110561.3789
151	110443.6944
152	110300.4564
153	110146.3429
154	109970.2259
155	109788.1587
156	109656.5016
157	109495.2217
158	109376.5713
159	109205.853
160	108902.3381
161	108653.5053
162	108520.9872
163	108360.8416
164	108203.2969
165	108026.2108
166	107875.5574
167	107756.7939
168	107542.1386
169	107411.951
170	107273.8319
171	107071.3657
172	106936.1637
173	106748.6765
174	106595.3407
175	106474.9637
176	106369.4425
177	106240.9359
178	106083.1129
179	105955.1849
180	105824.753
181	105646.3287
182	105474.4509
183	105336.2579
184	105226.4852
185	105101.3488
186	104945.94
187	104749.7337
188	104611.3764
189	104486.6366
190	104374.5271
191	104168.5346
192	104015.6244
193	103878.1733
194	103748.9155
195	103644.377
196	103550.7392
197	103361.7004
198	103180.4533
199	103001.018
200	102883.7303
201	102642.2538
202	102519.421
203	102398.6365
204	102248.3906
205	101962.0262
206	101856.4988
207	101731.3836
208	101544.351
209	101374.786
210	101251.71
211	101023.3121
212	100872.709
213	100769.4334
214	100577.0803
215	100462.0365
216	100345.9895
217	100235.5127
218	100133.6241
219	99966.88104
220	99841.97171
221	99681.6955
222	99601.98915
223	99507.99316
224	99355.02626
225	99262.09048
226	99152.62315
227	98951.55094
228	98844.96426
229	98701.55769
230	98573.43288
231	98445.24569
232	98354.81673
233	98254.46959
234	98144.71736
235	98048.24685
236	97923.57585
237	97802.44524
238	97705.31254
239	97612.5185
240	97474.88533
241	97393.7141
242	97261.8943
243	97183.85329
244	97068.96126
245	96976.97159
246	96875.05832
247	96764.16503
248	96695.41753
249	96576.46532
250	96400.73889
251	96293.2914
252	96203.31975
253	96114.21639
254	95997.48663
255	95869.95491
256	95712.9472
257	95624.90085
258	95540.00491
259	95429.24272
260	95275.28236
261	95154.32075
262	95045.19181
263	94892.53495
264	94807.39263
265	94733.766
266	94642.99033
267	94515.7537
268	94417.44287
269	94303.80518
270	94231.45075
271	94149.35094
272	94035.77911
273	93967.3117
274	93882.44734
275	93807.47444
276	93720.54805
277	93630.87029
278	93579.95571
279	93495.70383
280	93398.80059
281	93309.11555
282	93237.74381
283	93155.19635
284	93083.554
285	93015.98334
286	92935.4843
287	92863.7591
288	92760.66383
289	92706.83906
290	92629.72475
291	92572.26215
292	92504.31164
293	92427.91053
294	92354.03208
295	92257.33595
296	92193.83939
297	92115.85221
298	92027.04919
299	91959.64593
300	91843.09738
301	91759.48108
302	91696.71139
303	91582.44888
304	91525.52771
305	91414.1821
306	91344.63245
307	91292.7253
308	91135.15521
309	91077.49825
310	90979.35603
311	90912.60891
312	90848.31496
313	90786.01871
314	90679.43527
315	90604.99732
316	90505.20454
317	90431.78896
318	90373.17879
319	90296.35314
320	90195.18946
321	90130.12164
322	90036.6137
323	89943.17211
324	89895.77679
325	89794.41505
326	89709.08966
327	89644.80474
328	89579.31005
329	89509.61792
330	89455.44865
331	89402.2056
332	89347.40921
333	89236.80007
334	89171.65138
335	89089.0977
336	89001.96415
337	88946.0015
338	88890.02465
339	88814.67584
340	88737.21304
341	88616.3671
342	88524.31128
343	88472.04335
344	88405.32746
345	88341.02599
346	88268.7301
347	88203.73258
348	88095.86631
349	88054.08809
350	87992.00568
351	87918.10247
352	87866.14665
353	87768.33526
354	87694.37255
355	87649.92793
356	87583.13023
357	87491.45473
358	87423.15778
359	87356.35683
360	87299.6266
361	87210.23751
362	87152.90412
363	87043.11173
364	86983.22849
365	86904.86271
366	86851.66104
367	86764.91524
368	86686.49664
369	86618.54392
370	86561.37958
371	86452.01893
372	86395.14224
373	86343.93546
374	86288.34892
375	86232.84678
376	86179.50403
377	86113.14849
378	86060.98152
379	85998.41207
380	85919.74399
381	85856.65069
382	85797.18735
383	85745.04532
384	85681.71651
385	85617.27803
386	85561.74174
387	85517.64101
388	85437.67955
389	85375.2122
390	85331.58761
391	85277.61682
392	85207.24172
393	85137.3513
394	85116.63675
395	85053.56498
396	84995.86303
397	84951.91897
398	84912.2806
399	84844.98729
400	84758.00227
401	84716.41697
402	84643.88264
403	84581.72118
404	84541.43033
405	84490.42261
406	84420.55887
407	84364.19589
408	84309.28982
409	84242.10297
410	84204.04427
411	84170.58472
412	84117.16895
413	84047.47829
414	83995.04965
415	83949.9598
416	83900.5247
417	83857.98062
418	83793.42133
419	83762.84486
420	83726.77917
421	83666.85716
422	83605.33222
423	83588.1277
424	83534.80276
425	83489.53777
426	83431.05169
427	83372.57173
428	83325.89468
429	83267.93489
430	83213.82908
431	83164.40689
432	83090.44969
433	83031.96027
434	82960.50939
435	82893.51563
436	82848.09312
437	82777.43424
438	82716.42277
439	82660.15951
440	82620.45319
441	82537.63129
442	82478.2377
443	82446.18851
444	82401.07593
445	82371.16488
446	82330.27024
447	82275.0086
448	82193.82777
449	82139.92622
450	82070.4389
451	82037.87161
452	82001.86357
453	81942.83323
454	81883.44912
455	81845.6977
456	81806.9286
457	81747.6981
458	81697.4465
459	81651.52835
460	81622.21648
461	81583.70281
462	81533.66591
463	81473.3548
464	81441.60746
465	81392.42676
466	81338.27559
467	81283.32111
468	81228.5011
469	81183.40465
470	81128.39081
471	81096.72735
472	81050.28346
473	81003.96956
474	80957.14903
475	80886.22664
476	80842.63295
477	80797.19597
478	80739.8585
479	80711.55357
480	80664.05814
481	80630.29989
482	80584.33992
483	80540.93547
484	80487.86769
485	80439.72976
486	80411.46355
487	80370.06168
488	80326.65896
489	80284.6756
490	80251.49467
491	80220.77667
492	80178.21544
493	80127.20946
494	80067.20871
495	80022.17716
496	79967.5704
497	79941.28859
498	79879.49679
499	79829.78728
500	79781.67673
501	79749.88755
502	79705.76592
503	79677.03887
504	79640.55155
505	79617.13555
506	79567.54314
507	79534.89963
508	79483.20148
509	79455.87928
510	79412.90153
511	79363.32847
512	79317.20881
513	79266.97049
514	79220.88608
515	79172.92599
516	79128.58105
517	79090.87576
518	79040.84991
519	79004.01985
520	78967.66286
521	78927.40831
522	78889.52858
523	78829.68429
524	78785.55112
525	78743.2099
526	78706.37192
527	78657.9225
528	78614.693
529	78580.73745
530	78528.40291
531	78493.04774
532	78450.01502
533	78394.77384
534	78357.60027
535	78313.41391
536	78288.10325
537	78240.21103
538	78212.24909
539	78169.7879
540	78136.63574
541	78120.43882
542	78085.94961
543	78038.64307
544	77991.03409
545	77949.1469
546	77905.61219
547	77872.16968
548	77837.39959
549	77787.39078
550	77754.55662
551	77716.93888
552	77682.83711
553	77634.62253
554	77596.42426
555	77548.01205
556	77525.03208
557	77458.21066
558	77422.92085
559	77379.49756
560	77356.98831
561	77306.89507
562	77265.68297
563	77222.77361
564	77186.69523
565	77113.64289
566	77070.25571
567	77003.4068
568	76957.99232
569	76928.22445
570	76861.16047
571	76842.54684
572	76790.31676
573	76756.60458
574	76718.91105
575	76695.3588
576	76667.71329
577	76620.5907
578	76599.36429
579	76568.00926
580	76544.26878
581	76507.48594
582	76478.84814
583	76449.10747
584	76415.24565
585	76378.70683
586	76362.75073
587	76322.48447
588	76236.88627
589	76193.29135
590	76147.24828
591	76098.89787
592	76066.88235
593	76041.83696
594	76006.95413
595	75954.62097
596	75946.64909
597	75919.30262
598	75896.55693
599	75855.73616
600	75818.75084
601	75774.82651
602	75743.68116
603	75722.30952
604	75700.53102
605	75665.33931
606	75629.91682
607	75596.92232
608	75570.43254
609	75519.41755
610	75482.64054
611	75443.80511
612	75413.98669
613	75376.77238
614	75342.72253
615	75292.84019
616	75257.3161
617	75218.60955
618	75200.01503
619	75164.35792
620	75147.68425
621	75127.54782
622	75090.08454
623	75064.54918
624	75030.39681
625	74996.19172
626	74952.88435
627	74922.31782
628	74907.30131
629	74877.22076
630	74843.26301
631	74807.05321
632	74762.65636
633	74729.94373
634	74697.04486
635	74649.1992
636	74625.1421
637	74584.56667
638	74548.94727
639	74527.64441
640	74514.15792
641	74483.05027
642	74455.28318
643	74382.01624
644	74350.04465
645	74324.69938
646	74286.25403
647	74247.38424
648	74207.07417
649	74168.26419
650	74146.42326
651	74114.22493
652	74083.29565
653	74044.47855
654	74001.94264
655	73987.76546
656	73956.92277
657	73920.67443
658	73896.34134
659	73865.84086
660	73830.04724
661	73797.61662
662	73778.52648
663	73748.1921
664	73710.10876
665	73666.69722
666	73632.45386
667	73609.68722
668	73536.62066
669	73515.36283
670	73500.1571
671	73478.43406
672	73445.67877
673	73430.52679
674	73390.81641
675	73354.49536
676	73313.884
677	73285.41069
678	73260.91854
679	73236.18096
680	73213.88765
681	73187.91934
682	73155.18887
683	73130.91071
684	73057.4081
685	73038.2842
686	73011.45233
687	72978.4208
688	72957.80124
689	72923.71238
690	72885.2639
691	72861.27766
692	72828.76126
693	72808.99688
694	72777.65859
695	72749.44463
696	72709.50712
697	72685.7674
698	72634.47742
699	72603.22463
700	72546.096
701	72515.80287
702	72491.34841
703	72464.09569
704	72443.27993
705	72401.71199
706	72375.08349
707	72355.78263
708	72343.09118
709	72313.56491
710	72298.99984
711	72268.18931
712	72241.51545
713	72211.061
714	72175.16122
715	72150.94077
716	72122.04082
717	72101.47729
718	72077.22195
719	72048.08655
720	72029.40073
721	71994.6108
722	71961.06247
723	71929.49459
724	71896.0527
725	71850.55022
726	71836.3462
727	71807.86021
728	71771.85302
729	71751.97973
730	71737.29934
731	71706.59502
732	71669.15646
733	71648.07409
734	71604.11728
735	71578.82917
736	71516.11705
737	71486.37931
738	71473.58134
739	71461.63438
740	71444.03368
741	71419.30712
742	71383.20391
743	71353.70044
744	71329.36898
745	71294.03462
746	71252.00752
747	71229.21713
748	71206.21678
749	71186.62853
750	71170.31853
751	71142.61372
752	71126.48923
753	71109.82248
754	71079.69669
755	71050.40265
756	71028.99691
757	71011.12445
758	70969.0687
759	70937.60823
760	70909.024
761	70884.89952
762	70848.81217
763	70820.60049
764	70797.03242
765	70768.07076
766	70744.76016
767	70737.93731
768	70714.03048
769	70696.13252
770	70664.25162
771	70631.51611
772	70600.62633
773	70579.30956
774	70542.82917
775	70498.93931
776	70475.55274
777	70459.11253
778	70436.75662
779	70421.70278
780	70392.74583
781	70367.71274
782	70331.86948
783	70304.80361
784	70267.63847
785	70245.11689
786	70212.33027
787	70192.1282
788	70165.51751
789	70141.03923
790	70112.08887
791	70076.04964
792	70048.36042
793	70007.20097
794	69987.24758
795	69971.07752
796	69960.22517
797	69940.51478
798	69925.74316
799	69904.70892
800	69872.72149
801	69848.08282
802	69820.97976
803	69792.63082
804	69769.39911
805	69737.30975
806	69711.43481
807	69696.00213
808	69675.10306
809	69651.16752
810	69635.5996
811	69620.24308
812	69612.013
813	69593.75709
814	69577.0898
815	69550.2753
816	69491.30846
817	69469.15852
818	69464.15875
819	69446.80239
820	69403.09227
821	69372.32138
822	69345.44724
823	69327.27364
824	69294.95751
825	69276.74885
826	69247.32506
827	69232.93048
828	69217.59405
829	69186.08065
830	69162.8886
831	69144.65462
832	69122.6213
833	69108.16143
834	69079.40728
835	69066.69965
836	69019.38678
837	68998.39615
838	68964.03922
839	68941.97135
840	68928.13826
841	68909.40049
842	68896.18349
843	68871.22387
844	68845.95778
845	68824.55797
846	68804.50628
847	68753.05576
848	68725.35598
849	68694.46344
850	68679.20674
851	68622.41607
852	68603.40489
853	68575.20601
854	68545.52881
855	68528.40229
856	68513.16861
857	68476.33863
858	68452.32475
859	68443.12843
860	68424.2477
861	68396.55892
862	68366.73759
863	68336.4073
864	68280.37186
865	68260.9561
866	68228.75306
867	68208.03853
868	68196.61398
869	68171.9865
870	68139.93099
871	68123.3562
872	68098.90282
873	68078.35491
874	68060.8714
875	68037.91775
876	68010.10933
877	67994.32945
878	67966.35281
879	67942.66737
880	67913.67493
881	67894.19156
882	67871.2478
883	67849.2242
884	67804.57301
885	67787.03044
886	67758.19555
887	67737.31595
888	67718.54998
889	67682.73258
890	67667.80672
891	67637.48035
892	67624.40735
893	67597.69747
894	67573.66381
895	67553.61045
896	67534.33618
897	67507.38317
898	67479.75164
899	67460.03679
900	67421.28017
901	67403.54898
902	67389.9225
903	67374.63567
904	67349.38457
905	67328.65003
906	67299.30394
907	67283.52709
908	67271.10753
909	67243.99895
910	67221.60974
911	67195.40409
912	67170.84111
913	67156.02419
914	67138.6202
915	67118.49003
916	67091.40141
917	67082.65253
918	67065.85614
919	67043.93189
920	67026.20082
921	67008.6028
922	66995.11792
923	66981.9324
924	66957.66008
925	66939.61752
926	66914.29373
927	66889.03092
928	66869.10888
