iter	Passed	Remaining
0	25	25128
1	47	23536
2	71	23781
3	93	23225
4	117	23381
5	139	23074
6	157	22406
7	180	22433
8	200	22073
9	220	21860
10	239	21500
11	260	21434
12	280	21269
13	297	20973
14	319	20964
15	338	20802
16	357	20670
17	373	20372
18	392	20247
19	411	20180
20	430	20081
21	447	19901
22	465	19784
23	483	19678
24	502	19591
25	519	19452
26	536	19333
27	555	19293
28	572	19176
29	590	19097
30	608	19025
31	627	18974
32	643	18863
33	667	18975
34	694	19156
35	716	19195
36	745	19394
37	793	20095
38	832	20506
39	872	20934
40	898	21022
41	934	21308
42	967	21526
43	993	21578
44	1016	21564
45	1041	21599
46	1065	21598
47	1085	21523
48	1105	21458
49	1124	21373
50	1142	21256
51	1158	21125
52	1176	21016
53	1193	20907
54	1209	20777
55	1225	20661
56	1245	20606
57	1262	20509
58	1281	20433
59	1297	20321
60	1316	20271
61	1339	20263
62	1364	20295
63	1385	20258
64	1411	20300
65	1432	20277
66	1453	20238
67	1472	20176
68	1490	20117
69	1511	20078
70	1529	20013
71	1547	19946
72	1566	19898
73	1586	19848
74	1605	19795
75	1622	19729
76	1644	19714
77	1663	19665
78	1683	19626
79	1702	19577
80	1721	19536
81	1747	19566
82	1773	19592
83	1794	19567
84	1813	19522
85	1834	19497
86	1851	19430
87	1867	19359
88	1882	19267
89	1904	19257
90	1955	19529
91	1980	19548
92	2004	19547
93	2027	19537
94	2058	19608
95	2105	19829
96	2130	19831
97	2153	19822
98	2175	19794
99	2198	19784
100	2219	19758
101	2240	19725
102	2258	19669
103	2287	19709
104	2320	19775
105	2348	19807
106	2369	19774
107	2391	19749
108	2423	19806
109	2455	19864
110	2494	19979
111	2547	20197
112	2568	20160
113	2588	20119
114	2606	20055
115	2628	20030
116	2651	20009
117	2676	20008
118	2698	19978
119	2729	20014
120	2749	19970
121	2768	19921
122	2808	20027
123	2837	20043
124	2874	20124
125	2917	20235
126	2943	20232
127	2969	20226
128	2992	20208
129	3018	20197
130	3039	20163
131	3060	20128
132	3084	20110
133	3109	20092
134	3132	20072
135	3156	20051
136	3178	20025
137	3203	20008
138	3230	20011
139	3252	19979
140	3277	19967
141	3299	19936
142	3317	19881
143	3335	19826
144	3354	19779
145	3374	19739
146	3392	19688
147	3413	19649
148	3436	19625
149	3456	19586
150	3481	19573
151	3504	19549
152	3525	19517
153	3552	19514
154	3576	19496
155	3601	19482
156	3625	19465
157	3648	19444
158	3666	19393
159	3685	19350
160	3706	19317
161	3724	19267
162	3742	19217
163	3759	19166
164	3776	19109
165	3794	19064
166	3816	19035
167	3845	19043
168	3866	19010
169	3888	18986
170	3906	18936
171	3927	18907
172	3945	18862
173	3969	18843
174	4005	18882
175	4055	18986
176	4089	19014
177	4113	18997
178	4144	19010
179	4173	19013
180	4193	18976
181	4220	18968
182	4242	18940
183	4264	18911
184	4286	18881
185	4311	18868
186	4336	18852
187	4358	18824
188	4382	18805
189	4420	18843
190	4442	18818
191	4470	18814
192	4491	18780
193	4512	18748
194	4550	18785
195	4573	18759
196	4596	18736
197	4619	18710
198	4645	18697
199	4667	18670
200	4689	18641
201	4709	18605
202	4728	18565
203	4747	18525
204	4766	18484
205	4786	18447
206	4805	18409
207	4824	18370
208	4844	18335
209	4864	18300
210	4884	18264
211	4906	18235
212	4924	18195
213	4941	18148
214	4960	18110
215	4977	18067
216	4995	18025
217	5022	18016
218	5042	17983
219	5062	17947
220	5081	17911
221	5099	17871
222	5115	17823
223	5131	17777
224	5149	17736
225	5167	17696
226	5184	17654
227	5203	17620
228	5220	17578
229	5238	17537
230	5255	17495
231	5273	17458
232	5289	17412
233	5311	17385
234	5334	17366
235	5353	17331
