Quarter,Month,Region,State,Manager,Salesperson,Category,Subcategory,Quantity,Unit Prize,Discount,Sales
1,January,North,Minnesota,Andersen,Adams,Casual,Mens,80,6, 7 , 480 
1,January,North,Minnesota,Andersen,Adams,Business,Mens,160,8, 8 ," 1,280 "
1,January,North,Minnesota,Andersen,Adams,Casual,Womens,140,9, 6 ," 1,260 "
1,January,North,Minnesota,Andersen,Adams,Business,Womens,60,9, 5 , 540 
1,January,North,Minnesota,Andersen,Benson,Casual,Mens,100,5, 6 , 500 
1,January,North,Minnesota,Andersen,Benson,Business,Mens,110,6, 8 , 660 
1,January,North,Minnesota,Andersen,Benson,Casual,Womens,60,5, 9 , 300 
1,January,North,Minnesota,Andersen,Benson,Business,Womens,60,5, 7 , 300 
1,January,North,Minnesota,Andersen,Childers,Casual,Mens,170,6, 7 ," 1,020 "
1,January,North,Minnesota,Andersen,Childers,Business,Mens,180,7, 5 ," 1,260 "
1,January,North,Minnesota,Andersen,Childers,Casual,Womens,150,6, 5 , 900 
1,January,North,Minnesota,Andersen,Childers,Business,Womens,110,9, 8 , 990 
1,January,North,Minnesota,Andersen,Denison,Casual,Mens,90,7, 8 , 630 
1,January,North,Minnesota,Andersen,Denison,Business,Mens,150,5, 10 , 750 
1,January,North,Minnesota,Andersen,Denison,Casual,Womens,80,7, 10 , 560 
1,January,North,Minnesota,Andersen,Denison,Business,Womens,160,9, 10 ," 1,440 "
1,February,North,Minnesota,Andersen,Adams,Casual,Mens,130,6, 9 , 780 
1,February,North,Minnesota,Andersen,Adams,Business,Mens,60,9, 9 , 540 
1,February,North,Minnesota,Andersen,Adams,Casual,Womens,110,7, 9 , 770 
1,February,North,Minnesota,Andersen,Adams,Business,Womens,180,8, 6 ," 1,440 "
1,February,North,Minnesota,Andersen,Benson,Casual,Mens,120,6, 10 , 720 
1,February,North,Minnesota,Andersen,Benson,Business,Mens,90,9, 6 , 810 
1,February,North,Minnesota,Andersen,Benson,Casual,Womens,130,8, 5 ," 1,040 "
1,February,North,Minnesota,Andersen,Benson,Business,Womens,90,8, 9 , 720 
1,February,North,Minnesota,Andersen,Childers,Casual,Mens,90,8, 6 , 720 
1,February,North,Minnesota,Andersen,Childers,Business,Mens,190,5, 6 , 950 
1,February,North,Minnesota,Andersen,Childers,Casual,Womens,110,6, 9 , 660 
1,February,North,Minnesota,Andersen,Childers,Business,Womens,120,7, 5 , 840 
1,February,North,Minnesota,Andersen,Denison,Casual,Mens,130,6, 7 , 780 
1,February,North,Minnesota,Andersen,Denison,Business,Mens,170,8, 9 ," 1,360 "
1,February,North,Minnesota,Andersen,Denison,Casual,Womens,110,6, 5 , 660 
1,February,North,Minnesota,Andersen,Denison,Business,Womens,50,6, 8 , 300 
1,March,North,Minnesota,Andersen,Adams,Casual,Mens,180,6, 9 ," 1,080 "
1,March,North,Minnesota,Andersen,Adams,Business,Mens,50,8, 7 , 400 
1,March,North,Minnesota,Andersen,Adams,Casual,Womens,80,9, 7 , 720 
1,March,North,Minnesota,Andersen,Adams,Business,Womens,180,9, 9 ," 1,620 "
1,March,North,Minnesota,Andersen,Benson,Casual,Mens,50,8, 9 , 400 
1,March,North,Minnesota,Andersen,Benson,Business,Mens,110,5, 10 , 550 
1,March,North,Minnesota,Andersen,Benson,Casual,Womens,100,9, 7 , 900 
1,March,North,Minnesota,Andersen,Benson,Business,Womens,130,7, 5 , 910 
1,March,North,Minnesota,Andersen,Childers,Casual,Mens,120,7, 9 , 840 
1,March,North,Minnesota,Andersen,Childers,Business,Mens,190,10, 6 ," 1,900 "
1,March,North,Minnesota,Andersen,Childers,Casual,Womens,120,6, 10 , 720 
1,March,North,Minnesota,Andersen,Childers,Business,Womens,200,6, 5 ," 1,200 "
1,March,North,Minnesota,Andersen,Denison,Casual,Mens,170,9, 10 ," 1,530 "
1,March,North,Minnesota,Andersen,Denison,Business,Mens,60,9, 8 , 540 
1,March,North,Minnesota,Andersen,Denison,Casual,Womens,60,5, 8 , 300 
1,March,North,Minnesota,Andersen,Denison,Business,Womens,180,6, 9 ," 1,080 "
2,April,North,Minnesota,Andersen,Adams,Casual,Mens,60,6, 5 , 360 
2,April,North,Minnesota,Andersen,Adams,Business,Mens,180,9, 9 ," 1,620 "
2,April,North,Minnesota,Andersen,Adams,Casual,Womens,170,7, 9 ," 1,190 "
2,April,North,Minnesota,Andersen,Adams,Business,Womens,190,6, 9 ," 1,140 "
2,April,North,Minnesota,Andersen,Benson,Casual,Mens,150,8, 9 ," 1,200 "
2,April,North,Minnesota,Andersen,Benson,Business,Mens,170,10, 6 ," 1,700 "
2,April,North,Minnesota,Andersen,Benson,Casual,Womens,100,5, 7 , 500 
2,April,North,Minnesota,Andersen,Benson,Business,Womens,170,7, 8 ," 1,190 "
2,April,North,Minnesota,Andersen,Childers,Casual,Mens,60,7, 6 , 420 
2,April,North,Minnesota,Andersen,Childers,Business,Mens,100,5, 10 , 500 
2,April,North,Minnesota,Andersen,Childers,Casual,Womens,80,9, 9 , 720 
2,April,North,Minnesota,Andersen,Childers,Business,Womens,170,10, 8 ," 1,700 "
2,April,North,Minnesota,Andersen,Denison,Casual,Mens,70,7, 8 , 490 
2,April,North,Minnesota,Andersen,Denison,Business,Mens,130,10, 6 ," 1,300 "
2,April,North,Minnesota,Andersen,Denison,Casual,Womens,130,7, 10 , 910 
2,April,North,Minnesota,Andersen,Denison,Business,Womens,100,5, 9 , 500 
2,May,North,Minnesota,Andersen,Adams,Casual,Mens,120,9, 7 ," 1,080 "
2,May,North,Minnesota,Andersen,Adams,Business,Mens,90,6, 10 , 540 
2,May,North,Minnesota,Andersen,Adams,Casual,Womens,90,9, 5 , 810 
2,May,North,Minnesota,Andersen,Adams,Business,Womens,110,10, 6 ," 1,100 "
2,May,North,Minnesota,Andersen,Benson,Casual,Mens,60,7, 10 , 420 
2,May,North,Minnesota,Andersen,Benson,Business,Mens,120,7, 8 , 840 
2,May,North,Minnesota,Andersen,Benson,Casual,Womens,140,6, 5 , 840 
2,May,North,Minnesota,Andersen,Benson,Business,Womens,70,8, 7 , 560 
2,May,North,Minnesota,Andersen,Childers,Casual,Mens,190,6, 8 ," 1,140 "
2,May,North,Minnesota,Andersen,Childers,Business,Mens,120,7, 6 , 840 
2,May,North,Minnesota,Andersen,Childers,Casual,Womens,110,8, 6 , 880 
2,May,North,Minnesota,Andersen,Childers,Business,Womens,110,9, 7 , 990 
2,May,North,Minnesota,Andersen,Denison,Casual,Mens,80,7, 6 , 560 
2,May,North,Minnesota,Andersen,Denison,Business,Mens,160,8, 10 ," 1,280 "
2,May,North,Minnesota,Andersen,Denison,Casual,Womens,100,6, 10 , 600 
2,May,North,Minnesota,Andersen,Denison,Business,Womens,120,7, 10 , 840 
2,June,North,Minnesota,Andersen,Adams,Casual,Mens,110,8, 7 , 880 
2,June,North,Minnesota,Andersen,Adams,Business,Mens,130,7, 5 , 910 
2,June,North,Minnesota,Andersen,Adams,Casual,Womens,150,5, 10 , 750 
2,June,North,Minnesota,Andersen,Adams,Business,Womens,150,10, 5 ," 1,500 "
2,June,North,Minnesota,Andersen,Benson,Casual,Mens,180,10, 5 ," 1,800 "
2,June,North,Minnesota,Andersen,Benson,Business,Mens,80,8, 10 , 640 
2,June,North,Minnesota,Andersen,Benson,Casual,Womens,190,5, 5 , 950 
2,June,North,Minnesota,Andersen,Benson,Business,Womens,140,5, 7 , 700 
2,June,North,Minnesota,Andersen,Childers,Casual,Mens,190,7, 7 ," 1,330 "
2,June,North,Minnesota,Andersen,Childers,Business,Mens,190,7, 6 ," 1,330 "
2,June,North,Minnesota,Andersen,Childers,Casual,Womens,150,9, 7 ," 1,350 "
2,June,North,Minnesota,Andersen,Childers,Business,Womens,170,6, 5 ," 1,020 "
2,June,North,Minnesota,Andersen,Denison,Casual,Mens,120,5, 9 , 600 
2,June,North,Minnesota,Andersen,Denison,Business,Mens,160,7, 9 ," 1,120 "
2,June,North,Minnesota,Andersen,Denison,Casual,Womens,160,8, 5 ," 1,280 "
2,June,North,Minnesota,Andersen,Denison,Business,Womens,180,8, 9 ," 1,440 "
3,July,North,Minnesota,Andersen,Adams,Casual,Mens,190,9, 9 ," 1,710 "
3,July,North,Minnesota,Andersen,Adams,Business,Mens,70,9, 8 , 630 
3,July,North,Minnesota,Andersen,Adams,Casual,Womens,180,6, 5 ," 1,080 "
3,July,North,Minnesota,Andersen,Adams,Business,Womens,130,7, 9 , 910 
3,July,North,Minnesota,Andersen,Benson,Casual,Mens,90,5, 5 , 450 
3,July,North,Minnesota,Andersen,Benson,Business,Mens,140,7, 10 , 980 
3,July,North,Minnesota,Andersen,Benson,Casual,Womens,170,10, 9 ," 1,700 "
3,July,North,Minnesota,Andersen,Benson,Business,Womens,80,9, 5 , 720 
3,July,North,Minnesota,Andersen,Childers,Casual,Mens,60,7, 9 , 420 
3,July,North,Minnesota,Andersen,Childers,Business,Mens,60,9, 5 , 540 
3,July,North,Minnesota,Andersen,Childers,Casual,Womens,170,6, 7 ," 1,020 "
3,July,North,Minnesota,Andersen,Childers,Business,Womens,100,7, 7 , 700 
3,July,North,Minnesota,Andersen,Denison,Casual,Mens,120,6, 5 , 720 
3,July,North,Minnesota,Andersen,Denison,Business,Mens,100,9, 6 , 900 
3,July,North,Minnesota,Andersen,Denison,Casual,Womens,160,7, 7 ," 1,120 "
3,July,North,Minnesota,Andersen,Denison,Business,Womens,120,5, 10 , 600 
3,August,North,Minnesota,Andersen,Adams,Casual,Mens,100,9, 10 , 900 
3,August,North,Minnesota,Andersen,Adams,Business,Mens,120,5, 9 , 600 
3,August,North,Minnesota,Andersen,Adams,Casual,Womens,100,9, 5 , 900 
3,August,North,Minnesota,Andersen,Adams,Business,Womens,130,7, 9 , 910 
3,August,North,Minnesota,Andersen,Benson,Casual,Mens,70,10, 9 , 700 
3,August,North,Minnesota,Andersen,Benson,Business,Mens,190,6, 6 ," 1,140 "
3,August,North,Minnesota,Andersen,Benson,Casual,Womens,80,6, 9 , 480 
3,August,North,Minnesota,Andersen,Benson,Business,Womens,130,5, 10 , 650 
3,August,North,Minnesota,Andersen,Childers,Casual,Mens,100,9, 6 , 900 
3,August,North,Minnesota,Andersen,Childers,Business,Mens,150,8, 6 ," 1,200 "
3,August,North,Minnesota,Andersen,Childers,Casual,Womens,110,6, 8 , 660 
3,August,North,Minnesota,Andersen,Childers,Business,Womens,90,5, 6 , 450 
3,August,North,Minnesota,Andersen,Denison,Casual,Mens,110,10, 7 ," 1,100 "
3,August,North,Minnesota,Andersen,Denison,Business,Mens,160,8, 9 ," 1,280 "
3,August,North,Minnesota,Andersen,Denison,Casual,Womens,160,7, 5 ," 1,120 "
3,August,North,Minnesota,Andersen,Denison,Business,Womens,60,10, 5 , 600 
3,September,North,Minnesota,Andersen,Adams,Casual,Mens,90,7, 6 , 630 
3,September,North,Minnesota,Andersen,Adams,Business,Mens,90,5, 7 , 450 
3,September,North,Minnesota,Andersen,Adams,Casual,Womens,170,7, 9 ," 1,190 "
